kode,cmg,tipe,nomor,keparahan,deskripsi,regional,kelas_rs,kepemilikan,rawat,tarif_kelas3,tarif_kelas2,tarif_kelas1
M-4-18-III,M,4,18,III,PENYAKIT TULANG DAN SENDI LAIN-LAIN (BERAT),5,B,SWASTA,INAP,5643600,6574800,7506000
M-4-19-I,M,4,19,I,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PROSEDUR ATAU PEMASANGAN ALAT ORTOPEDIK (RINGAN)",5,B,SWASTA,INAP,5348300,6230700,7113200
M-4-19-II,M,4,19,II,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PROSEDUR ATAU PEMASANGAN ALAT ORTOPEDIK (SEDANG)",5,B,SWASTA,INAP,9301500,10836200,12370900
M-4-19-III,M,4,19,III,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PROSEDUR ATAU PEMASANGAN ALAT ORTOPEDIK (BERAT)",5,B,SWASTA,INAP,11635600,13555500,15475300
M-4-20-I,M,4,20,I,"TANDA, GEJALA & PERADANGAN MUSKULOSKELETAL (RINGAN)",5,B,SWASTA,INAP,3272100,3812000,4351900
M-4-20-II,M,4,20,II,"TANDA, GEJALA & PERADANGAN MUSKULOSKELETAL (SEDANG)",5,B,SWASTA,INAP,4791400,5582000,6372600
M-4-20-III,M,4,20,III,"TANDA, GEJALA & PERADANGAN MUSKULOSKELETAL (BERAT)",5,B,SWASTA,INAP,5426100,6321400,7216700
M-4-21-I,M,4,21,I,GANGGUAN SISTEM MUSKULOSKELETAL & JA(RINGAN) PENYAMBUNG LAIN-LAIN (RINGAN),5,B,SWASTA,INAP,4385100,5108600,5832200
M-4-21-II,M,4,21,II,GANGGUAN SISTEM MUSKULOSKELETAL & JA(RINGAN) PENYAMBUNG LAIN-LAIN (SEDANG),5,B,SWASTA,INAP,5347000,6229200,7111400
M-4-21-III,M,4,21,III,GANGGUAN SISTEM MUSKULOSKELETAL & JA(RINGAN) PENYAMBUNG LAIN-LAIN (BERAT),5,B,SWASTA,INAP,9237800,10762100,12286300
N-1-01-I,N,1,1,I,TRANSPLANTASI GINJAL (RINGAN),5,B,SWASTA,INAP,199909200,232894200,265879200
N-1-01-II,N,1,1,II,TRANSPLANTASI GINJAL (SEDANG),5,B,SWASTA,INAP,203159800,236681100,270202500
N-1-01-III,N,1,1,III,TRANSPLANTASI GINJAL (BERAT),5,B,SWASTA,INAP,203195200,236722400,270249500
N-1-11-I,N,1,11,I,PROSEDUR KANDUNG KEMIH KOMPLEK (RINGAN),5,B,SWASTA,INAP,9502700,11070600,12638500
N-1-11-II,N,1,11,II,PROSEDUR KANDUNG KEMIH KOMPLEK (SEDANG),5,B,SWASTA,INAP,16520100,19245900,21971700
N-1-11-III,N,1,11,III,PROSEDUR KANDUNG KEMIH KOMPLEK (BERAT),5,B,SWASTA,INAP,23425500,27290700,31155900
N-1-12-I,N,1,12,I,"MEMBUAT BARU, MEREVISI DAN MEMINDAHKAN ALAT DIALISIS (RINGAN)",5,B,SWASTA,INAP,6296100,7335000,8373800
N-1-12-II,N,1,12,II,"MEMBUAT BARU, MEREVISI DAN MEMINDAHKAN ALAT DIALISIS (SEDANG)",5,B,SWASTA,INAP,11764000,13705100,15646100
N-1-12-III,N,1,12,III,"MEMBUAT BARU, MEREVISI DAN MEMINDAHKAN ALAT DIALISIS (BERAT)",5,B,SWASTA,INAP,21571200,25130400,28689700
N-1-20-I,N,1,20,I,PROSEDUR SALURAN URIN ATAS (RINGAN),5,B,SWASTA,INAP,11131100,12967700,14804300
N-1-20-II,N,1,20,II,PROSEDUR SALURAN URIN ATAS (SEDANG),5,B,SWASTA,INAP,15277000,17797700,20318400
N-1-20-III,N,1,20,III,PROSEDUR SALURAN URIN ATAS (BERAT),5,B,SWASTA,INAP,20737100,24158700,27580300
N-1-30-I,N,1,30,I,PROSEDUR KANDUNG KEMIH DAN SALURAN URIN BAWAH (RINGAN),5,B,SWASTA,INAP,9690800,11289800,12888800
N-1-30-II,N,1,30,II,PROSEDUR KANDUNG KEMIH DAN SALURAN URIN BAWAH (SEDANG),5,B,SWASTA,INAP,14660300,17079200,19498200
N-1-30-III,N,1,30,III,PROSEDUR KANDUNG KEMIH DAN SALURAN URIN BAWAH (BERAT),5,B,SWASTA,INAP,16872600,19656600,22440600
N-1-40-I,N,1,40,I,PROSEDUR PADA URETRA DAN TRANSURETRA (RINGAN),5,B,SWASTA,INAP,9016900,10504700,11992500
N-1-40-II,N,1,40,II,PROSEDUR PADA URETRA DAN TRANSURETRA (SEDANG),5,B,SWASTA,INAP,12184200,14194500,16204900
N-1-40-III,N,1,40,III,PROSEDUR PADA URETRA DAN TRANSURETRA (BERAT),5,B,SWASTA,INAP,14543700,16943400,19343100
N-4-10-I,N,4,10,I,TUMOR GINJAL & SALURAN URIN & GAGAL GINJAL (RINGAN),5,B,SWASTA,INAP,3939400,4589300,5239300
N-4-10-II,N,4,10,II,TUMOR GINJAL & SALURAN URIN & GAGAL GINJAL (SEDANG),5,B,SWASTA,INAP,4721100,5500100,6279100
N-4-10-III,N,4,10,III,TUMOR GINJAL & SALURAN URIN & GAGAL GINJAL (BERAT),5,B,SWASTA,INAP,7209100,8398600,9588100
N-4-11-I,N,4,11,I,PERADANGAN GINJAL (RINGAN),5,B,SWASTA,INAP,2971900,3462300,3952600
N-4-11-II,N,4,11,II,PERADANGAN GINJAL (SEDANG),5,B,SWASTA,INAP,5119800,5964600,6809400
M-1-20-I,M,1,20,I,PROSEDUR PADA PAHA DAN SENDI PANGGUL (RINGAN),5,B,SWASTA,INAP,14884700,17340700,19796700
M-1-20-II,M,1,20,II,PROSEDUR PADA PAHA DAN SENDI PANGGUL (SEDANG),5,B,SWASTA,INAP,19436100,22643100,25850000
M-1-20-III,M,1,20,III,PROSEDUR PADA PAHA DAN SENDI PANGGUL (BERAT),5,B,SWASTA,INAP,45283800,52755700,60227500
M-1-30-I,M,1,30,I,PROSEDUR KAKI (RINGAN),5,B,SWASTA,INAP,9752400,11361500,12970700
M-1-30-II,M,1,30,II,PROSEDUR KAKI (SEDANG),5,B,SWASTA,INAP,15802800,18410300,21017800
M-1-30-III,M,1,30,III,PROSEDUR KAKI (BERAT),5,B,SWASTA,INAP,22596500,26324900,30053300
M-1-40-I,M,1,40,I,EKSISI LOKAL DAN PENGANGKATAN ALAT FIKSASI INTERNAL (RINGAN),5,B,SWASTA,INAP,5356400,6240200,7124000
M-1-40-II,M,1,40,II,EKSISI LOKAL DAN PENGANGKATAN ALAT FIKSASI INTERNAL (SEDANG),5,B,SWASTA,INAP,8539900,9949000,11358100
M-1-40-III,M,1,40,III,EKSISI LOKAL DAN PENGANGKATAN ALAT FIKSASI INTERNAL (BERAT),5,B,SWASTA,INAP,12193300,14205200,16217100
M-1-50-I,M,1,50,I,PROSEDUR JARINGAN LUNAK (RINGAN),5,B,SWASTA,INAP,5949100,6930700,7912300
M-1-50-II,M,1,50,II,PROSEDUR JARINGAN LUNAK (SEDANG),5,B,SWASTA,INAP,10859500,12651300,14443100
M-1-50-III,M,1,50,III,PROSEDUR JARINGAN LUNAK (BERAT),5,B,SWASTA,INAP,17835900,20778900,23721800
M-1-60-I,M,1,60,I,PROSEDUR SISTEM MUSKULOSKLETAL & JARINGAN PENGHUBUNG LAIN-LAIN (RINGAN),5,B,SWASTA,INAP,8950800,10427600,11904500
M-1-60-II,M,1,60,II,PROSEDUR SISTEM MUSKULOSKLETAL & JARINGAN PENGHUBUNG LAIN-LAIN (SEDANG),5,B,SWASTA,INAP,11845500,13800000,15754600
M-1-60-III,M,1,60,III,PROSEDUR SISTEM MUSKULOSKLETAL & JARINGAN PENGHUBUNG LAIN-LAIN (BERAT),5,B,SWASTA,INAP,18341900,21368400,24394800
M-1-70-I,M,1,70,I,PROSEDUR LUTUT DAN TUNGKAI BAWAH SELAIN KAKI (RINGAN),5,B,SWASTA,INAP,17021900,19830500,22639100
M-1-70-II,M,1,70,II,PROSEDUR LUTUT DAN TUNGKAI BAWAH SELAIN KAKI (SEDANG),5,B,SWASTA,INAP,18724000,21813500,24903000
M-1-70-III,M,1,70,III,PROSEDUR LUTUT DAN TUNGKAI BAWAH SELAIN KAKI (BERAT),5,B,SWASTA,INAP,21436600,24973600,28510600
M-1-80-I,M,1,80,I,PROSEDUR ANGGOTA TUBUH ATAS (RINGAN),5,B,SWASTA,INAP,9676300,11272900,12869400
M-1-80-II,M,1,80,II,PROSEDUR ANGGOTA TUBUH ATAS (SEDANG),5,B,SWASTA,INAP,12021300,14004800,15988300
M-1-80-III,M,1,80,III,PROSEDUR ANGGOTA TUBUH ATAS (BERAT),5,B,SWASTA,INAP,24026000,27990300,31954600
M-4-10-I,M,4,10,I,FRAKTUR FEMUR (RINGAN),5,B,SWASTA,INAP,3520700,4101600,4682500
M-4-10-II,M,4,10,II,FRAKTUR FEMUR (SEDANG),5,B,SWASTA,INAP,5804200,6761900,7719600
M-4-10-III,M,4,10,III,FRAKTUR FEMUR (BERAT),5,B,SWASTA,INAP,11285500,13147600,15009700
M-4-11-I,M,4,11,I,FRAKTUR PELVIS ATAU DISLOKASI SENDI PANGGUL (RINGAN),5,B,SWASTA,INAP,4975500,5796500,6617400
M-4-11-II,M,4,11,II,FRAKTUR PELVIS ATAU DISLOKASI SENDI PANGGUL (SEDANG),5,B,SWASTA,INAP,9032900,10523400,12013800
M-4-11-III,M,4,11,III,FRAKTUR PELVIS ATAU DISLOKASI SENDI PANGGUL (BERAT),5,B,SWASTA,INAP,13463900,15685400,17906900
M-4-12-I,M,4,12,I,FRAKTUR/DISLOKASI SELAIN FEMUR DAN PELVIS (RINGAN),5,B,SWASTA,INAP,3657100,4260600,4864000
M-4-12-II,M,4,12,II,FRAKTUR/DISLOKASI SELAIN FEMUR DAN PELVIS (SEDANG),5,B,SWASTA,INAP,5470000,6372600,7275100
M-4-12-III,M,4,12,III,FRAKTUR/DISLOKASI SELAIN FEMUR DAN PELVIS (BERAT),5,B,SWASTA,INAP,7548900,8794500,10040100
M-4-13-I,M,4,13,I,"TUMOR MUSKULOSKLETAL,JARINGAN KONEKTIF DAN FRAKTUR PATOLOGIS (RINGAN)",5,B,SWASTA,INAP,5476000,6379500,7283100
M-4-13-II,M,4,13,II,"TUMOR MUSKULOSKLETAL,JARINGAN KONEKTIF DAN FRAKTUR PATOLOGIS (SEDANG)",5,B,SWASTA,INAP,8354600,9733100,11111600
M-4-13-III,M,4,13,III,"TUMOR MUSKULOSKLETAL,JARINGAN KONEKTIF DAN FRAKTUR PATOLOGIS (BERAT)",5,B,SWASTA,INAP,16193700,18865700,21537600
M-4-14-I,M,4,14,I,OSTEOMIELITIS (RINGAN),5,B,SWASTA,INAP,7069100,8235500,9401900
M-4-14-II,M,4,14,II,OSTEOMIELITIS (SEDANG),5,B,SWASTA,INAP,8380000,9762700,11145400
M-4-14-III,M,4,14,III,OSTEOMIELITIS (BERAT),5,B,SWASTA,INAP,12039900,14026500,16013000
M-4-15-I,M,4,15,I,ARTRITIS SEPSIS (RINGAN),5,B,SWASTA,INAP,4405700,5132600,5859600
M-4-15-II,M,4,15,II,ARTRITIS SEPSIS (SEDANG),5,B,SWASTA,INAP,6230400,7258400,8286400
M-4-15-III,M,4,15,III,ARTRITIS SEPSIS (BERAT),5,B,SWASTA,INAP,11201500,13049700,14897900
M-4-16-I,M,4,16,I,GANGGUAN JARINGAN KONEKTIF (RINGAN),5,B,SWASTA,INAP,3260000,3797900,4335800
M-4-16-II,M,4,16,II,GANGGUAN JARINGAN KONEKTIF (SEDANG),5,B,SWASTA,INAP,5717800,6661200,7604600
M-4-16-III,M,4,16,III,GANGGUAN JARINGAN KONEKTIF (BERAT),5,B,SWASTA,INAP,9496700,11063600,12630600
M-4-17-I,M,4,17,I,MASALAH BAGIAN PUNGGUNG/PINGGANG BELAKANG (RINGAN),5,B,SWASTA,INAP,4114900,4793900,5472900
M-4-17-II,M,4,17,II,MASALAH BAGIAN PUNGGUNG/PINGGANG BELAKANG (SEDANG),5,B,SWASTA,INAP,5755100,6704700,7654300
M-4-17-III,M,4,17,III,MASALAH BAGIAN PUNGGUNG/PINGGANG BELAKANG (BERAT),5,B,SWASTA,INAP,8036700,9362700,10688800
M-4-18-I,M,4,18,I,PENYAKIT TULANG DAN SENDI LAIN-LAIN (RINGAN),5,B,SWASTA,INAP,3110200,3623400,4136600
M-4-18-II,M,4,18,II,PENYAKIT TULANG DAN SENDI LAIN-LAIN (SEDANG),5,B,SWASTA,INAP,4687800,5461200,6234700
M-4-18-III,M,4,18,III,PENYAKIT TULANG DAN SENDI LAIN-LAIN (BERAT),5,B,SWASTA,INAP,5643600,6574800,7506000
M-4-19-I,M,4,19,I,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PROSEDUR ATAU PEMASANGAN ALAT ORTOPEDIK (RINGAN)",5,B,SWASTA,INAP,5348300,6230700,7113200
M-4-19-II,M,4,19,II,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PROSEDUR ATAU PEMASANGAN ALAT ORTOPEDIK (SEDANG)",5,B,SWASTA,INAP,9301500,10836200,12370900
M-4-19-III,M,4,19,III,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PROSEDUR ATAU PEMASANGAN ALAT ORTOPEDIK (BERAT)",5,B,SWASTA,INAP,11635600,13555500,15475300
M-4-20-I,M,4,20,I,"TANDA, GEJALA & PERADANGAN MUSKULOSKELETAL (RINGAN)",5,B,SWASTA,INAP,3272100,3812000,4351900
M-4-20-II,M,4,20,II,"TANDA, GEJALA & PERADANGAN MUSKULOSKELETAL (SEDANG)",5,B,SWASTA,INAP,4791400,5582000,6372600
M-4-20-III,M,4,20,III,"TANDA, GEJALA & PERADANGAN MUSKULOSKELETAL (BERAT)",5,B,SWASTA,INAP,5426100,6321400,7216700
M-4-21-I,M,4,21,I,GANGGUAN SISTEM MUSKULOSKELETAL & JA(RINGAN) PENYAMBUNG LAIN-LAIN (RINGAN),5,B,SWASTA,INAP,4385100,5108600,5832200
M-4-21-II,M,4,21,II,GANGGUAN SISTEM MUSKULOSKELETAL & JA(RINGAN) PENYAMBUNG LAIN-LAIN (SEDANG),5,B,SWASTA,INAP,5347000,6229200,7111400
M-4-21-III,M,4,21,III,GANGGUAN SISTEM MUSKULOSKELETAL & JA(RINGAN) PENYAMBUNG LAIN-LAIN (BERAT),5,B,SWASTA,INAP,9237800,10762100,12286300
N-1-01-I,N,1,1,I,TRANSPLANTASI GINJAL (RINGAN),5,B,SWASTA,INAP,199909200,232894200,265879200
N-1-01-II,N,1,1,II,TRANSPLANTASI GINJAL (SEDANG),5,B,SWASTA,INAP,203159800,236681100,270202500
N-1-01-III,N,1,1,III,TRANSPLANTASI GINJAL (BERAT),5,B,SWASTA,INAP,203195200,236722400,270249500
N-1-11-I,N,1,11,I,PROSEDUR KANDUNG KEMIH KOMPLEK (RINGAN),5,B,SWASTA,INAP,9502700,11070600,12638500
N-1-11-II,N,1,11,II,PROSEDUR KANDUNG KEMIH KOMPLEK (SEDANG),5,B,SWASTA,INAP,16520100,19245900,21971700
N-1-11-III,N,1,11,III,PROSEDUR KANDUNG KEMIH KOMPLEK (BERAT),5,B,SWASTA,INAP,23425500,27290700,31155900
N-1-12-I,N,1,12,I,"MEMBUAT BARU, MEREVISI DAN MEMINDAHKAN ALAT DIALISIS (RINGAN)",5,B,SWASTA,INAP,6296100,7335000,8373800
N-1-12-II,N,1,12,II,"MEMBUAT BARU, MEREVISI DAN MEMINDAHKAN ALAT DIALISIS (SEDANG)",5,B,SWASTA,INAP,11764000,13705100,15646100
N-1-12-III,N,1,12,III,"MEMBUAT BARU, MEREVISI DAN MEMINDAHKAN ALAT DIALISIS (BERAT)",5,B,SWASTA,INAP,21571200,25130400,28689700
N-1-20-I,N,1,20,I,PROSEDUR SALURAN URIN ATAS (RINGAN),5,B,SWASTA,INAP,11131100,12967700,14804300
N-1-20-II,N,1,20,II,PROSEDUR SALURAN URIN ATAS (SEDANG),5,B,SWASTA,INAP,15277000,17797700,20318400
N-1-20-III,N,1,20,III,PROSEDUR SALURAN URIN ATAS (BERAT),5,B,SWASTA,INAP,20737100,24158700,27580300
N-1-30-I,N,1,30,I,PROSEDUR KANDUNG KEMIH DAN SALURAN URIN BAWAH (RINGAN),5,B,SWASTA,INAP,9690800,11289800,12888800
N-1-30-II,N,1,30,II,PROSEDUR KANDUNG KEMIH DAN SALURAN URIN BAWAH (SEDANG),5,B,SWASTA,INAP,14660300,17079200,19498200
N-1-30-III,N,1,30,III,PROSEDUR KANDUNG KEMIH DAN SALURAN URIN BAWAH (BERAT),5,B,SWASTA,INAP,16872600,19656600,22440600
N-1-40-I,N,1,40,I,PROSEDUR PADA URETRA DAN TRANSURETRA (RINGAN),5,B,SWASTA,INAP,9016900,10504700,11992500
N-1-40-II,N,1,40,II,PROSEDUR PADA URETRA DAN TRANSURETRA (SEDANG),5,B,SWASTA,INAP,12184200,14194500,16204900
N-1-40-III,N,1,40,III,PROSEDUR PADA URETRA DAN TRANSURETRA (BERAT),5,B,SWASTA,INAP,14543700,16943400,19343100
N-4-10-I,N,4,10,I,TUMOR GINJAL & SALURAN URIN & GAGAL GINJAL (RINGAN),5,B,SWASTA,INAP,3939400,4589300,5239300
N-4-10-II,N,4,10,II,TUMOR GINJAL & SALURAN URIN & GAGAL GINJAL (SEDANG),5,B,SWASTA,INAP,4721100,5500100,6279100
N-4-10-III,N,4,10,III,TUMOR GINJAL & SALURAN URIN & GAGAL GINJAL (BERAT),5,B,SWASTA,INAP,7209100,8398600,9588100
N-4-11-I,N,4,11,I,PERADANGAN GINJAL (RINGAN),5,B,SWASTA,INAP,2971900,3462300,3952600
N-4-11-II,N,4,11,II,PERADANGAN GINJAL (SEDANG),5,B,SWASTA,INAP,5119800,5964600,6809400
N-4-11-III,N,4,11,III,PERADANGAN GINJAL (BERAT),5,B,SWASTA,INAP,6443900,7507100,8570300
N-4-12-I,N,4,12,I,INFEKSI GINJAL DAN SALURAN URIN (RINGAN),5,B,SWASTA,INAP,2803300,3265800,3728400
N-4-12-II,N,4,12,II,INFEKSI GINJAL DAN SALURAN URIN (SEDANG),5,B,SWASTA,INAP,4927800,5740800,6553900
N-4-12-III,N,4,12,III,INFEKSI GINJAL DAN SALURAN URIN (BERAT),5,B,SWASTA,INAP,5931300,6910000,7888700
N-4-13-I,N,4,13,I,BATU URIN (RINGAN),5,B,SWASTA,INAP,3878300,4518200,5158100
N-4-13-II,N,4,13,II,BATU URIN (SEDANG),5,B,SWASTA,INAP,5059300,5894100,6728800
N-4-13-III,N,4,13,III,BATU URIN (BERAT),5,B,SWASTA,INAP,7992900,9311700,10630500
N-4-14-I,N,4,14,I,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PEMASANGAN ALAT SALURAN URIN, PEMINDAHAN KULIT ATAU PENCAKOKAN (RINGAN)",5,B,SWASTA,INAP,4058000,4727500,5397100
N-4-14-II,N,4,14,II,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PEMASANGAN ALAT SALURAN URIN, PEMINDAHAN KULIT ATAU PENCAKOKAN (SEDANG)",5,B,SWASTA,INAP,7018100,8176100,9334000
N-4-14-III,N,4,14,III,"MALFUNGSI, REAKSI ATAU KOMPLIKASI DARI PEMASANGAN ALAT SALURAN URIN, PEMINDAHAN KULIT ATAU PENCAKOKAN (BERAT)",5,B,SWASTA,INAP,8387200,9771100,11154900
N-4-15-I,N,4,15,I,"GEJALA, TANDA-TANDA PADA GINJAL DAN SALURAN URIN (RINGAN)",5,B,SWASTA,INAP,3467800,4040000,4612200
N-4-15-II,N,4,15,II,"GEJALA, TANDA-TANDA PADA GINJAL DAN SALURAN URIN (SEDANG)",5,B,SWASTA,INAP,4308200,5019000,5729900
N-4-15-III,N,4,15,III,"GEJALA, TANDA-TANDA PADA GINJAL DAN SALURAN URIN (BERAT)",5,B,SWASTA,INAP,4916300,5727500,6538700
N-4-16-I,N,4,16,I,PENYAKIT GINJAL DAN SALURAN URIN LAIN-LAIN (RINGAN),5,B,SWASTA,INAP,4296400,5005300,5714200
N-4-16-II,N,4,16,II,PENYAKIT GINJAL DAN SALURAN URIN LAIN-LAIN (SEDANG),5,B,SWASTA,INAP,5886100,6857400,7828600
N-4-16-III,N,4,16,III,PENYAKIT GINJAL DAN SALURAN URIN LAIN-LAIN (BERAT),5,B,SWASTA,INAP,8077200,9409900,10742600
O-6-10-I,O,6,10,I,OPERASI PEMBEDAHAN CAESAR (RINGAN),5,B,SWASTA,INAP,5566100,6484600,7402900
O-6-10-II,O,6,10,II,OPERASI PEMBEDAHAN CAESAR (SEDANG),5,B,SWASTA,INAP,6033200,7028700,8024100
